# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        V        u        v        b        y     Hb_w     Hb_n
 216     4750  3.00   -0.332   -3.222   -1.918   -0.912   -0.307   -0.632    2.495
 217     4750  3.50   -0.339   -3.191   -1.902   -0.902   -0.309   -0.630    2.503
 218     4750  4.00   -0.346   -3.190   -1.896   -0.893   -0.310   -0.629    2.511
 219     4750  4.50   -0.355   -3.217   -1.900   -0.886   -0.311   -0.631    2.519
 220     4750  5.00   -0.364   -3.274   -1.919   -0.882   -0.311   -0.635    2.524
 221     5000  0.00   -0.217   -3.614   -1.893   -0.850   -0.201   -0.539    2.572
 222     5000  0.50   -0.215   -3.413   -1.813   -0.818   -0.198   -0.519    2.594
 223     5000  1.00   -0.215   -3.237   -1.749   -0.795   -0.198   -0.506    2.608
 224     5000  1.50   -0.218   -3.092   -1.703   -0.781   -0.200   -0.500    2.616
 225     5000  2.00   -0.222   -2.980   -1.672   -0.773   -0.204   -0.498    2.620
 226     5000  2.50   -0.227   -2.895   -1.652   -0.767   -0.208   -0.498    2.623
 227     5000  3.00   -0.231   -2.837   -1.640   -0.762   -0.211   -0.498    2.626
 228     5000  3.50   -0.235   -2.804   -1.634   -0.755   -0.213   -0.497    2.631
 229     5000  4.00   -0.239   -2.796   -1.633   -0.747   -0.213   -0.495    2.638
 230     5000  4.50   -0.243   -2.813   -1.638   -0.739   -0.212   -0.492    2.645
 231     5000  5.00   -0.249   -2.853   -1.649   -0.731   -0.210   -0.491    2.654
 232     5250  0.00   -0.123   -3.250   -1.536   -0.661   -0.105   -0.385    2.724
 233     5250  0.50   -0.128   -3.075   -1.489   -0.649   -0.111   -0.381    2.730
 234     5250  1.00   -0.134   -2.914   -1.451   -0.641   -0.117   -0.380    2.733
 235     5250  1.50   -0.141   -2.776   -1.425   -0.637   -0.124   -0.381    2.733
 236     5250  2.00   -0.147   -2.665   -1.409   -0.637   -0.130   -0.385    2.732
 237     5250  2.50   -0.154   -2.578   -1.400   -0.638   -0.136   -0.389    2.730
 238     5250  3.00   -0.159   -2.516   -1.399   -0.639   -0.141   -0.393    2.729
 239     5250  3.50   -0.163   -2.477   -1.402   -0.637   -0.143   -0.394    2.730
 240     5250  4.00   -0.165   -2.461   -1.409   -0.633   -0.143   -0.393    2.734
 241     5250  4.50   -0.166   -2.469   -1.418   -0.627   -0.142   -0.391    2.741
 242     5250  5.00   -0.167   -2.496   -1.430   -0.619   -0.139   -0.387    2.749
 243     5500  0.00   -0.047   -2.977   -1.232   -0.499   -0.029   -0.255    2.850
 244     5500  0.50   -0.058   -2.822   -1.211   -0.503   -0.041   -0.264    2.842
 245     5500  1.00   -0.069   -2.672   -1.195   -0.508   -0.052   -0.273    2.835
