# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        I        J        H       Ks
 386     9000  5.00   -0.037   -0.015    0.004    0.004
 387     9250  2.00   -0.132   -0.128   -0.110   -0.121
 388     9250  2.50   -0.136   -0.125   -0.112   -0.120
 389     9250  3.00   -0.135   -0.120   -0.111   -0.115
 390     9250  3.50   -0.130   -0.115   -0.109   -0.110
 391     9250  4.00   -0.123   -0.109   -0.104   -0.103
 392     9250  4.50   -0.114   -0.104   -0.098   -0.096
 393     9250  5.00   -0.103   -0.097   -0.088   -0.088
 394     9500  2.00   -0.190   -0.204   -0.190   -0.203
 395     9500  2.50   -0.195   -0.201   -0.192   -0.203
 396     9500  3.00   -0.196   -0.197   -0.193   -0.201
 397     9500  3.50   -0.192   -0.193   -0.192   -0.197
 398     9500  4.00   -0.186   -0.188   -0.190   -0.191
 399     9500  4.50   -0.177   -0.182   -0.184   -0.185
 400     9500  5.00   -0.167   -0.177   -0.176   -0.178
 401     9750  2.00   -0.248   -0.278   -0.268   -0.284
 402     9750  2.50   -0.254   -0.276   -0.271   -0.285
 403     9750  3.00   -0.256   -0.273   -0.273   -0.284
 404     9750  3.50   -0.254   -0.270   -0.274   -0.281
 405     9750  4.00   -0.249   -0.265   -0.272   -0.276
 406     9750  4.50   -0.240   -0.260   -0.268   -0.271
 407     9750  5.00   -0.231   -0.255   -0.261   -0.265
 408    10000  2.00   -0.306   -0.350   -0.344   -0.362
 409    10000  2.50   -0.312   -0.349   -0.348   -0.364
 410    10000  3.00   -0.316   -0.347   -0.351   -0.364
 411    10000  3.50   -0.315   -0.345   -0.352   -0.363
 412    10000  4.00   -0.311   -0.341   -0.352   -0.359
 413    10000  4.50   -0.303   -0.336   -0.349   -0.355
 414    10000  5.00   -0.294   -0.331   -0.344   -0.349
 415    10250  2.00   -0.364   -0.422   -0.419   -0.438
 416    10250  2.50   -0.371   -0.421   -0.423   -0.442
 417    10250  3.00   -0.375   -0.420   -0.427   -0.443
 418    10250  3.50   -0.376   -0.419   -0.429   -0.442
 419    10250  4.00   -0.372   -0.416   -0.430   -0.440
 420    10250  4.50   -0.366   -0.411   -0.428   -0.436
 421    10250  5.00   -0.356   -0.406   -0.424   -0.431
 422    10500  2.00   -0.421   -0.492   -0.492   -0.513
 423    10500  2.50   -0.428   -0.491   -0.497   -0.518
 424    10500  3.00   -0.434   -0.492   -0.501   -0.520
 425    10500  3.50   -0.435   -0.491   -0.505   -0.520
 426    10500  4.00   -0.433   -0.489   -0.506   -0.519
 427    10500  4.50   -0.428   -0.485   -0.505   -0.516
 428    10500  5.00   -0.419   -0.480   -0.501   -0.511
 429    10750  2.00   -0.478   -0.560   -0.564   -0.587
 430    10750  2.50   -0.486   -0.560   -0.569   -0.592
